Date,Name,Type
2015-01-01,New Year's Day,Restricted Holiday
2015-01-04,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
2015-01-05,Guru Govind Singh Jayanti,Restricted Holiday
2015-01-15,Pongal,Restricted Holiday
2015-01-22,"Beti Bachao, Beti Padhao Campaign Launch Day",Observance
2015-01-24,Vasant Panchami,Restricted Holiday
2015-01-26,Republic Day,Gazetted Holiday
2015-02-03,Guru Ravidas Jayanti,Restricted Holiday
2015-02-14,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
2015-02-17,Maha Shivaratri/Shivaratri,Gazetted Holiday
2015-02-19,Shivaji Jayanti,Restricted Holiday
2015-03-05,Holika Dahana,Restricted Holiday
2015-03-06,Holi,Restricted Holiday
2015-03-21,Chaitra Sukhladi,Restricted Holiday
2015-03-28,Rama Navami,Gazetted Holiday
2015-04-02,Maundy Thursday,"Observance, Christian"
2015-04-03,Good Friday,Gazetted Holiday
2015-04-04,First day of Passover,Observance
2015-04-05,Easter Day,Restricted Holiday
2015-04-14,Vaisakhi,Restricted Holiday
2015-04-15,Mesadi / Vaisakhadi,Restricted Holiday
2015-05-01,International Worker's Day,Observance
2015-05-03,Hazarat Ali's Birthday,Restricted Holiday
2015-05-04,Buddha Purnima/Vesak,Gazetted Holiday
2015-05-09,Birthday of Rabindranath,Restricted Holiday
2015-05-10,Mothers' Day,Observance
2015-06-21,Fathers' Day,Observance
2015-07-17,Jamat Ul-Vida,Restricted Holiday
2015-07-18,Rath Yatra,Restricted Holiday
2015-07-19,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
2015-07-31,Guru Purnima,Observance
2015-08-02,Friendship Day,Observance
2015-08-15,Independence Day,Gazetted Holiday
2015-08-18,Parsi New Year,Restricted Holiday
2015-08-28,Onam,Restricted Holiday
2015-08-29,Raksha Bandhan (Rakhi),Restricted Holiday
2015-09-05,Janmashtami,Gazetted Holiday
2015-09-17,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
2015-09-23,September Equinox,Season
2015-09-25,Bakrid/Eid ul-Adha,Gazetted Holiday
2015-10-02,Mahatma Gandhi Jayanti,Gazetted Holiday
2015-10-13,First Day of Sharad Navratri,"Observance, Hinduism"
2015-10-19,First Day of Durga Puja Festivities,"Observance, Hinduism"
2015-10-20,Maha Saptami,Restricted Holiday
2015-10-21,Maha Ashtami,Restricted Holiday
2015-10-22,Dussehra,Gazetted Holiday
2015-10-24,Muharram/Ashura,Gazetted Holiday
2015-10-27,Maharishi Valmiki Jayanti,Restricted Holiday
2015-10-30,Karaka Chaturthi (Karva Chauth),Restricted Holiday
2015-10-31,Halloween,Observance
2015-11-10,Naraka Chaturdasi,Restricted Holiday
2015-11-11,Diwali/Deepavali,Gazetted Holiday
2015-11-12,Govardhan Puja,Restricted Holiday
2015-11-13,Bhai Duj,Restricted Holiday
2015-11-17,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
2015-11-24,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
2015-11-25,Guru Nanak Jayanti,Gazetted Holiday
2015-12-07,First Day of Hanukkah,Observance
2015-12-14,Last day of Hanukkah,Observance
2015-12-22,December Solstice,Season
2015-12-24,Christmas Eve,Restricted Holiday
2015-12-25,Christmas,Gazetted Holiday
2015-12-31,New Year's Eve,Observance
2016-01-01,New Year's Day,Restricted Holiday
2016-01-15,Pongal,Restricted Holiday
2016-01-16,Guru Govind Singh Jayanti,Restricted Holiday
2016-01-26,Republic Day,Gazetted Holiday
2016-02-08,Lunar New Year,Observance
2016-02-12,Vasant Panchami,Restricted Holiday
2016-02-14,Valentine's Day,Observance
2016-02-19,Shivaji Jayanti,Restricted Holiday
2016-02-22,Guru Ravidas Jayanti,Restricted Holiday
2016-03-04,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
2016-03-07,Maha Shivaratri/Shivaratri,Gazetted Holiday
2016-03-20,March Equinox,Season
2016-03-23,Holika Dahana,Restricted Holiday
2016-03-24,Maundy Thursday,"Observance, Christian"
2016-03-25,Good Friday,Gazetted Holiday
2016-03-27,Easter Day,Restricted Holiday
2016-04-08,Chaitra Sukhladi,Restricted Holiday
2016-04-13,Vaisakhi,Restricted Holiday
2016-04-14,Mesadi / Vaisakhadi,Restricted Holiday
2016-04-15,Rama Navami,Gazetted Holiday
2016-04-20,Mahavir Jayanti,Gazetted Holiday
2016-04-21,Hazarat Ali's Birthday,Restricted Holiday
2016-04-23,First day of Passover,Observance
2016-05-01,International Worker's Day,Observance
2016-05-08,Mothers' Day,Observance
2016-05-21,Buddha Purnima/Vesak,Gazetted Holiday
2016-06-19,Fathers' Day,Observance
2016-06-21,June Solstice,Season
2016-07-01,Jamat Ul-Vida,Restricted Holiday
2016-07-06,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
2016-07-19,Guru Purnima,Observance
2016-08-07,Friendship Day,Observance
2016-08-15,Independence Day,Gazetted Holiday
2016-08-17,Parsi New Year,Restricted Holiday
2016-08-18,Raksha Bandhan (Rakhi),Restricted Holiday
2016-08-25,Janmashtami,Gazetted Holiday
2016-09-05,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
2016-09-13,Bakrid/Eid ul-Adha,Gazetted Holiday
2016-09-22,September Equinox,Season
2016-10-01,First Day of Sharad Navratri,"Observance, Hinduism"
2016-10-02,Mahatma Gandhi Jayanti,Gazetted Holiday
2016-10-07,First Day of Durga Puja Festivities,"Observance, Hinduism"
2016-10-09,Maha Ashtami,Restricted Holiday
2016-10-11,Dussehra,Gazetted Holiday
2016-10-12,Muharram/Ashura,Gazetted Holiday
2016-10-16,Maharishi Valmiki Jayanti,Restricted Holiday
2016-10-19,Karaka Chaturthi (Karva Chauth),Restricted Holiday
2016-10-29,Naraka Chaturdasi,Restricted Holiday
2016-10-30,Diwali/Deepavali,Gazetted Holiday
2016-10-31,Halloween,Observance
2016-11-01,Bhai Duj,Restricted Holiday
2016-11-06,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
2016-11-14,Guru Nanak Jayanti,Gazetted Holiday
2016-11-24,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
2016-12-13,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
2016-12-21,December Solstice,Season
2016-12-24,Christmas Eve,Restricted Holiday
2016-12-25,First Day of Hanukkah,Observance
2016-12-31,New Year's Eve,Observance
2017-01-01,Last day of Hanukkah,Observance
2017-01-05,Guru Govind Singh Jayanti,Restricted Holiday
2017-01-14,Pongal,Restricted Holiday
2017-01-26,Republic Day,Gazetted Holiday
2017-01-28,Lunar New Year,Observance
2017-02-01,Vasant Panchami,Restricted Holiday
2017-02-10,Guru Ravidas Jayanti,Restricted Holiday
2017-02-14,Valentine's Day,Observance
2017-02-19,Shivaji Jayanti,Restricted Holiday
2017-02-21,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
2017-02-24,Maha Shivaratri/Shivaratri,Gazetted Holiday
